Satellite,Timestamp (UTC),Doppler Shift (Hz)
STARLINK-1555,2025-07-13T03:09:00Z,-39449.45445
STARLINK-1555,2025-07-13T03:09:01Z,-42073.76
STARLINK-1555,2025-07-13T03:09:02Z,-44685.21041
STARLINK-1555,2025-07-13T03:09:03Z,-47283.09807
STARLINK-1555,2025-07-13T03:09:04Z,-49866.73512
STARLINK-1555,2025-07-13T03:09:05Z,-52435.45414
STARLINK-1555,2025-07-13T03:09:06Z,-54988.60891
STARLINK-1555,2025-07-13T03:09:07Z,-57525.57494
STARLINK-1555,2025-07-13T03:09:08Z,-60045.7501
STARLINK-1555,2025-07-13T03:09:09Z,-62548.55506
STARLINK-1555,2025-07-13T03:09:10Z,-65033.43371
STARLINK-1555,2025-07-13T03:09:11Z,-67499.85352
STARLINK-1555,2025-07-13T03:09:12Z,-69947.30582
STARLINK-1555,2025-07-13T03:09:13Z,-72375.30601
STARLINK-1555,2025-07-13T03:09:14Z,-74783.39374
STARLINK-1555,2025-07-13T03:09:15Z,-77171.13298
STARLINK-1555,2025-07-13T03:09:16Z,-79538.11208
STARLINK-1555,2025-07-13T03:09:17Z,-81883.94373
STARLINK-1555,2025-07-13T03:09:18Z,-84208.26489
STARLINK-1555,2025-07-13T03:09:19Z,-86510.73667
STARLINK-1555,2025-07-13T03:09:20Z,-88791.04411
STARLINK-1555,2025-07-13T03:09:21Z,-91048.89599
STARLINK-1555,2025-07-13T03:09:22Z,-93284.02457
STARLINK-1555,2025-07-13T03:09:23Z,-95496.18519
STARLINK-1555,2025-07-13T03:09:24Z,-97685.15601
STARLINK-1555,2025-07-13T03:09:25Z,-99850.73756
STARLINK-1555,2025-07-13T03:09:26Z,-101992.7523
STARLINK-1555,2025-07-13T03:09:27Z,-104111.0443
STARLINK-1555,2025-07-13T03:09:28Z,-106205.4784
STARLINK-1555,2025-07-13T03:09:29Z,-108275.9401
STARLINK-1555,2025-07-13T03:09:30Z,-110322.3349
STARLINK-1555,2025-07-13T03:09:31Z,-112344.5877
STARLINK-1555,2025-07-13T03:09:32Z,-114342.6419
STARLINK-1555,2025-07-13T03:09:33Z,-116316.4597
STARLINK-1555,2025-07-13T03:09:34Z,-118266.0204
STARLINK-1555,2025-07-13T03:09:35Z,-120191.3207
STARLINK-1555,2025-07-13T03:09:36Z,-122092.3735
STARLINK-1555,2025-07-13T03:09:37Z,-123969.2075
STARLINK-1555,2025-07-13T03:09:38Z,-125821.8668
STARLINK-1555,2025-07-13T03:09:39Z,-127650.4097
STARLINK-1555,2025-07-13T03:09:40Z,-129454.9086
STARLINK-1555,2025-07-13T03:09:41Z,-131235.4492
STARLINK-1555,2025-07-13T03:09:42Z,-132992.1298
STARLINK-1555,2025-07-13T03:09:43Z,-134725.0606
STARLINK-1555,2025-07-13T03:09:44Z,-136434.3636
STARLINK-1555,2025-07-13T03:09:45Z,-138120.1714
STARLINK-1555,2025-07-13T03:09:46Z,-139782.6268
STARLINK-1555,2025-07-13T03:09:47Z,-141421.8824
STARLINK-1555,2025-07-13T03:09:48Z,-143038.0998
STARLINK-1555,2025-07-13T03:09:49Z,-144631.4493
STARLINK-1555,2025-07-13T03:09:50Z,-146202.1091
STARLINK-2194,2025-07-13T03:09:00Z,134438.6049
STARLINK-2194,2025-07-13T03:09:01Z,132357.2705
STARLINK-2194,2025-07-13T03:09:02Z,130242.1899
STARLINK-2194,2025-07-13T03:09:03Z,128093.1903
STARLINK-2194,2025-07-13T03:09:04Z,125910.124
STARLINK-2194,2025-07-13T03:09:05Z,123692.87
STARLINK-2194,2025-07-13T03:09:06Z,121441.3352
STARLINK-2194,2025-07-13T03:09:07Z,119155.4563
STARLINK-2194,2025-07-13T03:09:08Z,116835.2008
STARLINK-2194,2025-07-13T03:09:09Z,114480.5688
STARLINK-2194,2025-07-13T03:09:10Z,112091.5946
STARLINK-2194,2025-07-13T03:09:11Z,109668.3478
STARLINK-2194,2025-07-13T03:09:12Z,107210.9348
STARLINK-2194,2025-07-13T03:09:13Z,104719.5005
STARLINK-2194,2025-07-13T03:09:14Z,102194.2294
STARLINK-2194,2025-07-13T03:09:15Z,99635.34684
STARLINK-2194,2025-07-13T03:09:16Z,97043.12032
STARLINK-2194,2025-07-13T03:09:17Z,94417.86066
STARLINK-2194,2025-07-13T03:09:18Z,91759.92308
STARLINK-2194,2025-07-13T03:09:19Z,89069.70812
STARLINK-2194,2025-07-13T03:09:20Z,86347.66258
STARLINK-2194,2025-07-13T03:09:21Z,83594.28025
STARLINK-2194,2025-07-13T03:09:22Z,80810.10257
STARLINK-2194,2025-07-13T03:09:23Z,77995.71916
STARLINK-2194,2025-07-13T03:09:24Z,75151.76816
STARLINK-2194,2025-07-13T03:09:25Z,72278.93652
STARLINK-2194,2025-07-13T03:09:26Z,69377.96001
STARLINK-2194,2025-07-13T03:09:27Z,66449.62316
STARLINK-2194,2025-07-13T03:09:28Z,63494.75902
STARLINK-2194,2025-07-13T03:09:29Z,60514.24869
STARLINK-2194,2025-07-13T03:09:30Z,57509.02072
STARLINK-2194,2025-07-13T03:09:31Z,54480.0503
STARLINK-2194,2025-07-13T03:09:32Z,51428.35829
STARLINK-2194,2025-07-13T03:09:33Z,48355.01003
STARLINK-2194,2025-07-13T03:09:34Z,45261.11398
STARLINK-2194,2025-07-13T03:09:35Z,42147.82014
STARLINK-2194,2025-07-13T03:09:36Z,39016.31835
STARLINK-2194,2025-07-13T03:09:37Z,35867.83634
STARLINK-2194,2025-07-13T03:09:38Z,32703.63763
STARLINK-2194,2025-07-13T03:09:39Z,29525.01925
STARLINK-2194,2025-07-13T03:09:40Z,26333.30934
STARLINK-2194,2025-07-13T03:09:41Z,23129.86454
STARLINK-2194,2025-07-13T03:09:42Z,19916.06725
STARLINK-2194,2025-07-13T03:09:43Z,16693.32282
STARLINK-2194,2025-07-13T03:09:44Z,13463.05649
STARLINK-2194,2025-07-13T03:09:45Z,10226.71041
STARLINK-2194,2025-07-13T03:09:46Z,6985.740395
STARLINK-2194,2025-07-13T03:09:47Z,3741.612736
STARLINK-2194,2025-07-13T03:09:48Z,495.8008798
STARLINK-2194,2025-07-13T03:09:49Z,-2750.217888
STARLINK-2194,2025-07-13T03:09:50Z,-5994.9658
STARLINK-2194,2025-07-13T03:09:51Z,-9236.967955
STARLINK-2194,2025-07-13T03:09:52Z,-12474.75566
STARLINK-2194,2025-07-13T03:09:53Z,-15706.86975
STARLINK-2194,2025-07-13T03:09:54Z,-18931.8638
STARLINK-2194,2025-07-13T03:09:55Z,-22148.30737
STARLINK-2194,2025-07-13T03:09:56Z,-25354.78906
STARLINK-2194,2025-07-13T03:09:57Z,-28549.91957
STARLINK-2194,2025-07-13T03:09:58Z,-31732.33453
STARLINK-2194,2025-07-13T03:09:59Z,-34900.69732
STARLINK-2194,2025-07-13T03:10:00Z,-38053.70169
STARLINK-2232,2025-07-13T03:09:39Z,39365.5418
STARLINK-2232,2025-07-13T03:09:40Z,37174.30091
STARLINK-2232,2025-07-13T03:09:41Z,34975.02784
STARLINK-2232,2025-07-13T03:09:42Z,32768.16197
STARLINK-2232,2025-07-13T03:09:43Z,30554.14981
STARLINK-2232,2025-07-13T03:09:44Z,28333.44539
STARLINK-2232,2025-07-13T03:09:45Z,26106.50991
STARLINK-2232,2025-07-13T03:09:46Z,23873.81124
STARLINK-2232,2025-07-13T03:09:47Z,21635.82345
STARLINK-2232,2025-07-13T03:09:48Z,19393.02637
STARLINK-2232,2025-07-13T03:09:49Z,17145.90507
STARLINK-2232,2025-07-13T03:09:50Z,14894.94934
STARLINK-2232,2025-07-13T03:09:51Z,12640.65321
STARLINK-2232,2025-07-13T03:09:52Z,10383.51436
STARLINK-2232,2025-07-13T03:09:53Z,8124.033649
STARLINK-2232,2025-07-13T03:09:54Z,5862.7145
STARLINK-2232,2025-07-13T03:09:55Z,3600.062393
STARLINK-2232,2025-07-13T03:09:56Z,1336.584284
STARLINK-2232,2025-07-13T03:09:57Z,-927.2119568
STARLINK-2232,2025-07-13T03:09:58Z,-3190.818109
STARLINK-2232,2025-07-13T03:09:59Z,-5453.726173
STARLINK-2705,2025-07-13T03:09:22Z,158159.2158
STARLINK-2705,2025-07-13T03:09:23Z,156687.3534
STARLINK-2705,2025-07-13T03:09:24Z,155192.4691
STARLINK-2705,2025-07-13T03:09:25Z,153674.3114
STARLINK-2705,2025-07-13T03:09:26Z,152132.6342
STARLINK-2705,2025-07-13T03:09:27Z,150567.1968
STARLINK-2705,2025-07-13T03:09:28Z,148977.765
STARLINK-2705,2025-07-13T03:09:29Z,147364.1112
STARLINK-2705,2025-07-13T03:09:30Z,145726.0156
STARLINK-2705,2025-07-13T03:09:31Z,144063.2662
STARLINK-2705,2025-07-13T03:09:32Z,142375.6596
STARLINK-2705,2025-07-13T03:09:33Z,140663.0019
STARLINK-2705,2025-07-13T03:09:34Z,138925.1092
STARLINK-2705,2025-07-13T03:09:35Z,137161.8081
STARLINK-2705,2025-07-13T03:09:36Z,135372.9367
STARLINK-2705,2025-07-13T03:09:37Z,133558.3451
STARLINK-2705,2025-07-13T03:09:38Z,131717.8963
STARLINK-2705,2025-07-13T03:09:39Z,129851.4667
STARLINK-2705,2025-07-13T03:09:40Z,127958.947
STARLINK-2705,2025-07-13T03:09:41Z,126040.2431
